GEO.id,GEO.id2,GEO.display-label,D001
1000000US530330002001008,530330002001008,"Block 1008, Block Group 1, Census Tract 2, King County, Washington",42
1000000US530330002001009,530330002001009,"Block 1009, Block Group 1, Census Tract 2, King County, Washington",14
1000000US530330002001010,530330002001010,"Block 1010, Block Group 1, Census Tract 2, King County, Washington",21
1000000US530330002001011,530330002001011,"Block 1011, Block Group 1, Census Tract 2, King County, Washington",11
1000000US530330002001012,530330002001012,"Block 1012, Block Group 1, Census Tract 2, King County, Washington",10
1000000US530330002001013,530330002001013,"Block 1013, Block Group 1, Census Tract 2, King County, Washington",10
1000000US530330002001014,530330002001014,"Block 1014, Block Group 1, Census Tract 2, King County, Washington",36
1000000US530330002001015,530330002001015,"Block 1015, Block Group 1, Census Tract 2, King County, Washington",16
1000000US530330002001016,530330002001016,"Block 1016, Block Group 1, Census Tract 2, King County, Washington",27
1000000US530330002001017,530330002001017,"Block 1017, Block Group 1, Census Tract 2, King County, Washington",23
1000000US530330002001018,530330002001018,"Block 1018, Block Group 1, Census Tract 2, King County, Washington",41
1000000US530330002002000,530330002002000,"Block 2000, Block Group 2, Census Tract 2, King County, Washington",23
1000000US530330002002001,530330002002001,"Block 2001, Block Group 2, Census Tract 2, King County, Washington",21
1000000US530330002002002,530330002002002,"Block 2002, Block Group 2, Census Tract 2, King County, Washington",39
1000000US530330002002003,530330002002003,"Block 2003, Block Group 2, Census Tract 2, King County, Washington",9
1000000US530330002002004,530330002002004,"Block 2004, Block Group 2, Census Tract 2, King County, Washington",93
1000000US530330002002005,530330002002005,"Block 2005, Block Group 2, Census Tract 2, King County, Washington",20
1000000US530330002002006,530330002002006,"Block 2006, Block Group 2, Census Tract 2, King County, Washington",20
1000000US530330002002007,530330002002007,"Block 2007, Block Group 2, Census Tract 2, King County, Washington",23
1000000US530330002002008,530330002002008,"Block 2008, Block Group 2, Census Tract 2, King County, Washington",29
1000000US530330002002009,530330002002009,"Block 2009, Block Group 2, Census Tract 2, King County, Washington",28
1000000US530330002002010,530330002002010,"Block 2010, Block Group 2, Census Tract 2, King County, Washington",18
1000000US530330002002011,530330002002011,"Block 2011, Block Group 2, Census Tract 2, King County, Washington",21
1000000US530330002002012,530330002002012,"Block 2012, Block Group 2, Census Tract 2, King County, Washington",136
1000000US530330002002013,530330002002013,"Block 2013, Block Group 2, Census Tract 2, King County, Washington",0
1000000US530330002002014,530330002002014,"Block 2014, Block Group 2, Census Tract 2, King County, Washington",61
1000000US530330002002015,530330002002015,"Block 2015, Block Group 2, Census Tract 2, King County, Washington",49
1000000US530330002003000,530330002003000,"Block 3000, Block Group 3, Census Tract 2, King County, Washington",531
1000000US530330002003001,530330002003001,"Block 3001, Block Group 3, Census Tract 2, King County, Washington",52
1000000US530330002003002,530330002003002,"Block 3002, Block Group 3, Census Tract 2, King County, Washington",0
1000000US530330002003003,530330002003003,"Block 3003, Block Group 3, Census Tract 2, King County, Washington",14
1000000US530330002003004,530330002003004,"Block 3004, Block Group 3, Census Tract 2, King County, Washington",15
1000000US530330002003005,530330002003005,"Block 3005, Block Group 3, Census Tract 2, King County, Washington",53
1000000US530330002003006,530330002003006,"Block 3006, Block Group 3, Census Tract 2, King County, Washington",116
1000000US530330002003007,530330002003007,"Block 3007, Block Group 3, Census Tract 2, King County, Washington",45
1000000US530330002004000,530330002004000,"Block 4000, Block Group 4, Census Tract 2, King County, Washington",24
1000000US530330002004001,530330002004001,"Block 4001, Block Group 4, Census Tract 2, King County, Washington",40
1000000US530330002004002,530330002004002,"Block 4002, Block Group 4, Census Tract 2, King County, Washington",178
1000000US530330002004003,530330002004003,"Block 4003, Block Group 4, Census Tract 2, King County, Washington",18
1000000US530330002004004,530330002004004,"Block 4004, Block Group 4, Census Tract 2, King County, Washington",18
1000000US530330002004005,530330002004005,"Block 4005, Block Group 4, Census Tract 2, King County, Washington",123
1000000US530330002004006,530330002004006,"Block 4006, Block Group 4, Census Tract 2, King County, Washington",8
1000000US530330002004007,530330002004007,"Block 4007, Block Group 4, Census Tract 2, King County, Washington",18
1000000US530330002004008,530330002004008,"Block 4008, Block Group 4, Census Tract 2, King County, Washington",18
1000000US530330002004009,530330002004009,"Block 4009, Block Group 4, Census Tract 2, King County, Washington",18
1000000US530330002004010,530330002004010,"Block 4010, Block Group 4, Census Tract 2, King County, Washington",18
1000000US530330002004011,530330002004011,"Block 4011, Block Group 4, Census Tract 2, King County, Washington",0
1000000US530330002004012,530330002004012,"Block 4012, Block Group 4, Census Tract 2, King County, Washington",20
1000000US530330002004013,530330002004013,"Block 4013, Block Group 4, Census Tract 2, King County, Washington",32
1000000US530330002004014,530330002004014,"Block 4014, Block Group 4, Census Tract 2, King County, Washington",43
1000000US530330002005000,530330002005000,"Block 5000, Block Group 5, Census Tract 2, King County, Washington",312
