PROP_NAME,LAND_SQFT,LAND_NO_SHORE_SQFT,PARCEL_DEV_SQFT,LAND_USE_CODE,LAND_USE_DESC,LAND_USE_DESC_10,ZONING,ZONELUT,MIO_BASE_ZONE,CLASS,ZONE_GEO,VILLNUMB,TRBL10,RESCAT,EMPCAT,PUB_OWN_TYPE,TAX_STATUS,SF_UNITS,MF_UNITS,EXIST_UNITS,YR_BUILT,MAXRDENS,OBS_RDENS_UNITS,RES_FAR,OBS_FAR_UNITS,RES_MAX_FAR,MAX_FAR_UNITS,MAX_RES_FL_AREA,BLDG_GRSS_SQFT,BLDG_RES_GRSSQF,BLDG_COM_GRSSQF,COMM_FAR,OBS_COMM_FL_AREA,COMM_MAX_FAR,MAX_COMM_FL_AREA,REDEV_FL_AREA,BLDG_AV,LAND_AV,LANDMARK,STAT_TYPE,RATIO,ILR,DR,RESSTAT,COMSTAT,SPLITRES,SPLITCOM,EMPL,ADJRCAP_MAXRDENS_SFL,ADJRCAP_OBS_FAR,ADJRCAP_MAX_FAR,ADJRCAP_FL_AREA_MAX
Robson Square,3600,3600,3600,11,NA,NA,NC1-40,NC1,NA,NC,NONE,414.1,7401.1003,NCL,NC,PRIVATE,T,0,8,8,1995,485,7,3,11,3,11,10800,10198,6765,3433,0.5,1800,3,10800,10800,1809300,395700,NA,DR:SQFT,0.4,4.572,0.94,DEVELOPED,DEVELOPED,0.6,0.4,300,NA,0,NA,0
CHOP SUEY,5061,5061,5061,183,NA,NA,NC3-65,NC3,NA,NC,NONE,414.4,7500.4012,NCH,NC,PRIVATE,T,0,0,0,1975,290,17,4.25,22,4.25,22,21509,4928,0,4928,2.5,12652,4.25,21509,21509,1000,840000,NA,DR:SQFT,0.4,0.001,0.23,REDEV,REDEV,0.5,0.5,300,NA,11,NA,10754
NA,1963,1963,1963,2,NA,NA,LR3,LR3,NA,L,DGA,414.1,7500.3006,MFM,n/a,PRIVATE,T,1,0,1,1906,670,3,1.6,3,1.6,3,3141,2130,2130,0,0,0,0,0,3141,334000,120000,NA,DR:UNITS,0.4,2.783,0.33,REDEV,UNAVAIL,1,0,0,NA,2,NA,1011
SWANSONIA APTS,15705,15705,15705,11,NA,NA,LR3,LR3,NA,L,DGA,414.1,7500.3013,MFM,n/a,PRIVATE,T,0,32,32,1977,670,23,1.6,25,1.6,25,25128,21512,21512,0,0,0,0,0,25128,2464200,1723800,NA,DR:UNITS,0.4,1.43,1.39,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,3616
CHURCH,9905,9905,9905,165,NA,NA,LR2,LR2,NA,L,NONE,109,8900.3023,MFL,n/a,PRIVATE,X,0,0,0,1960,1110,9,1.15,11,1.15,11,11391,15247,0,0,0,0,0,0,11391,449700,600000,NA,DR:UNITS,0.4,0.75,0,LUC,LUC,1,0,0,NA,11,NA,11391
HARBORVIEW APTS,14423,14423,14423,11,NA,NA,HR,HR,NA,HR,NONE,414.3,8500.102,MFH,n/a,PRIVATE,T,0,51,51,1985,150,96,13,187,13,187,187499,45564,45564,0,0,0,0,0,187499,3500000,3600000,NA,DR:UNITS,0.4,0.972,0.27,REDEV,UNAVAIL,1,0,0,NA,136,NA,141935
NA,3302,3302,3302,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,0,8800.2015,SF,n/a,PRIVATE,T,1,0,1,1906,5000,1,1,1,1,1,3302,1720,1720,0,0,0,0,0,3302,215000,192000,NA,DR:UNITS,1,1.12,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,1582
NA,5256,5256,5256,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,0,6500.302,SF,n/a,PRIVATE,T,1,0,1,1911,5000,1,1,1,1,1,5256,6180,6180,0,0,0,0,0,5256,820000,576000,NA,DR:UNITS,1,1.424,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,0
NA,3601,3601,3601,2,NA,NA,SF 5000,SF 5000,NA,SF,NONE,109,9000.2037,SF,n/a,PRIVATE,T,1,0,1,2013,5000,1,1,1,1,1,3601,1820,1820,0,0,0,0,0,3601,284000,163000,NA,DR:UNITS,1,1.742,1,DEVELOPED,UNAVAIL,1,0,0,NA,0,NA,1781
TOWNHOUSE,1305,1305,1305,29,NA,NA,LR2,LR2,NA,L,NONE,109,8700.3004,MFL,n/a,PUBLIC,X,0,1,1,1997,1110,1,1.15,2,1.15,2,1501,1100,1100,0,0,0,0,0,1501,190000,74000,NA,DR:UNITS,0.4,2.568,1,PUBLIC,PUBLIC,1,0,0,NA,1,NA,401
4 PLEX,4644,4644,4644,5,NA,NA,LR2,LR2,NA,L,NONE,109,8700.3008,MFL,n/a,PRIVATE,T,0,4,4,1976,1110,4,1.15,5,1.15,5,5341,4141,4141,0,0,0,0,0,5341,352800,297200,NA,DR:UNITS,0.4,1.187,1,DEVELOPED,UNAVAIL,1,0,0,NA,1,NA,1200
IMPS ON MINOR 1005,6786,6786,6786,159,NA,NA,NC3-40,NC3,NA,NC,SAO,414.1,7500.4003,NCM,NC,PRIVATE,T,0,0,0,0,485,14,4,27,4,27,27144,0,0,0,0.5,3393,4,27144,27144,0,847500,NA,DR:SQFT,0.4,0,0,REDEV,REDEV,0.6,0.4,300,NA,16,NA,16286
Northwest Actors' Studio / Index Publishing,4057,4057,4057,101,NA,NA,NC3P-65,NC3,NA,NC,PN,414.2,7500.4006,NCH,NC,PRIVATE,T,0,0,0,1980,290,14,4.25,17,4.25,17,17242,16224,0,16224,2,8114,2,8114,17242,2455100,648900,NA,DR:SQFT,0.4,3.783,0.94,DEVELOPED,DEVELOPED,0.75,0.25,300,NA,13,NA,12932
SURFACE PARKING LOT TO UWAJIMAYA VILLAGE (#524780-,13800,13800,13800,180,NA,NA,IDM 75/85-150,IDM,NA,D,NONE,413.5,9100.201,D,D,PRIVATE,T,0,0,0,0,150,92,7,97,7,97,96600,0,0,0,3,41400,3,41400,96600,0,1894800,NA,ILR,0.5,0,-1,REDEV,REDEV,0.8,0.2,275,NA,78,NA,77280
