GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0800000US530339292835415029601,530339292835415029601,"Census Tract 296.01 (part), Kent city (part), Seattle CCD, King County, Washington",5719,541
0800000US530339292835415029602,530339292835415029602,"Census Tract 296.02 (part), Kent city (part), Seattle CCD, King County, Washington",977,283
0800000US530339292835415029700,530339292835415029700,"Census Tract 297 (part), Kent city (part), Seattle CCD, King County, Washington",6747,546
0800000US530339292835415029801,530339292835415029801,"Census Tract 298.01 (part), Kent city (part), Seattle CCD, King County, Washington",6091,434
0800000US530339292837270020401,530339292837270020401,"Census Tract 204.01 (part), Lake Forest Park city, Seattle CCD, King County, Washington",94,49
0800000US530339292837270020402,530339292837270020402,"Census Tract 204.02 (part), Lake Forest Park city, Seattle CCD, King County, Washington",3455,351
0800000US530339292837270021300,530339292837270021300,"Census Tract 213 (part), Lake Forest Park city, Seattle CCD, King County, Washington",2131,296
0800000US530339292837270021400,530339292837270021400,"Census Tract 214 (part), Lake Forest Park city, Seattle CCD, King County, Washington",3293,231
0800000US530339292837270021500,530339292837270021500,"Census Tract 215 (part), Lake Forest Park city, Seattle CCD, King County, Washington",3745,304
0800000US530339292837420029801,530339292837420029801,"Census Tract 298.01 (part), Lakeland North CDP (part), Seattle CCD, King County, Washington",617,331
0800000US530339292837420029802,530339292837420029802,"Census Tract 298.02 (part), Lakeland North CDP (part), Seattle CCD, King County, Washington",8120,505
0800000US530339292849415027800,530339292849415027800,"Census Tract 278 (part), Normandy Park city, Seattle CCD, King County, Washington",297,137
0800000US530339292849415027900,530339292849415027900,"Census Tract 279 (part), Normandy Park city, Seattle CCD, King County, Washington",0,12
0800000US530339292849415028600,530339292849415028600,"Census Tract 286 (part), Normandy Park city, Seattle CCD, King County, Washington",6010,154
0800000US530339292849415028901,530339292849415028901,"Census Tract 289.01 (part), Normandy Park city, Seattle CCD, King County, Washington",67,75
0800000US530339292857745026001,530339292857745026001,"Census Tract 260.01 (part), Renton city (part), Seattle CCD, King County, Washington",0,12
0800000US530339292857745026100,530339292857745026100,"Census Tract 261 (part), Renton city (part), Seattle CCD, King County, Washington",30,46
0800000US530339292857745026200,530339292857745026200,"Census Tract 262 (part), Renton city (part), Seattle CCD, King County, Washington",0,12
