GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
1580000US5363000033006800,5363000033006800,"Census Tract 68, King County (part), Seattle city, Washington",1477
1580000US5363000033006900,5363000033006900,"Census Tract 69, King County (part), Seattle city, Washington",2249
1580000US5363000033007000,5363000033007000,"Census Tract 70, King County (part), Seattle city, Washington",5324
1580000US5363000033007100,5363000033007100,"Census Tract 71, King County (part), Seattle city, Washington",2271
1580000US5363000033007200,5363000033007200,"Census Tract 72, King County (part), Seattle city, Washington",4677
1580000US5363000033007300,5363000033007300,"Census Tract 73, King County (part), Seattle city, Washington",3840
1580000US5363000033007401,5363000033007401,"Census Tract 74.01, King County (part), Seattle city, Washington",3188
1580000US5363000033007402,5363000033007402,"Census Tract 74.02, King County (part), Seattle city, Washington",3666
1580000US5363000033007500,5363000033007500,"Census Tract 75, King County (part), Seattle city, Washington",4508
1580000US5363000033007600,5363000033007600,"Census Tract 76, King County (part), Seattle city, Washington",1994
1580000US5363000033007700,5363000033007700,"Census Tract 77, King County (part), Seattle city, Washington",2316
1580000US5363000033007800,5363000033007800,"Census Tract 78, King County (part), Seattle city, Washington",2241
1580000US5363000033007900,5363000033007900,"Census Tract 79, King County (part), Seattle city, Washington",3128
1580000US5363000033008001,5363000033008001,"Census Tract 80.01, King County (part), Seattle city, Washington",4589
1580000US5363000033008002,5363000033008002,"Census Tract 80.02, King County (part), Seattle city, Washington",2324
1580000US5363000033008100,5363000033008100,"Census Tract 81, King County (part), Seattle city, Washington",3100
1580000US5363000033008200,5363000033008200,"Census Tract 82, King County (part), Seattle city, Washington",2805
1580000US5363000033008300,5363000033008300,"Census Tract 83, King County (part), Seattle city, Washington",2111
1580000US5363000033008400,5363000033008400,"Census Tract 84, King County (part), Seattle city, Washington",2971
1580000US5363000033008500,5363000033008500,"Census Tract 85, King County (part), Seattle city, Washington",2020
1580000US5363000033008600,5363000033008600,"Census Tract 86, King County (part), Seattle city, Washington",2223
1580000US5363000033008700,5363000033008700,"Census Tract 87, King County (part), Seattle city, Washington",1843
1580000US5363000033008800,5363000033008800,"Census Tract 88, King County (part), Seattle city, Washington",1592
1580000US5363000033008900,5363000033008900,"Census Tract 89, King County (part), Seattle city, Washington",2281
1580000US5363000033009000,5363000033009000,"Census Tract 90, King County (part), Seattle city, Washington",1775
